,name
2466,Jonathan Biabiany
2468,Javier Pastore
2471,Ante Coric
2474,Daniel Fuzato
2476,Ronaldo Vieira
2477,Emil Audero
2478,Júnior Tavares
2487,Alfred Gomis
2489,Bremer
2490,Ola Aina
2491,Erick Ferigra
2493,Felipe Vizeu
2494,Juan Musso
2495,Lukasz Teodorczyk
2497,Petar Micin
2499,Roger Ibañez
2500,Filip Bradaric
2501,Sebastian Walukiewicz
2504,Diego Farias
2505,Szymon Zurkowski
2506,Ivan Radovanovic
2507,Jandrei
2508,Filip Jagiello
2511,Tiago Casasola
2512,Lucas Paquetá
2513,Gabriel Brazão
2514,Alessandro Minelli
2515,Erasmo Mulè
2518,Marko Jankovic
2520,Zoran Nizic
2521,Aleksandr Sheplyakov
2524,Miguel Cardoso
2525,Christian Cueva
2526,Uros Spajic
2527,Dmitri Stotskiy
2528,Jon Gudni Fjóluson
2530,Danijel Miskic
2531,Andrea Chukanov
2532,Vidar Örn Kjartansson
2533,Dennis Hadzikadunic
2537,Filip Uremovic
2541,Lovro Bizjak
2542,Olivier Thill
2543,Danil Krugovoy
2545,Arnór Sigurdsson
2546,Takuma Nishimura
2549,Rodrigo Becão
2550,Damian Szymanski
2552,Anton Zinkovskiy
2554,Khvicha Kvaratskhelia
2555,Saveli Kozlov
2557,Danil Glebov
2558,Vladislav Panteleev
2559,Ayrton Lucas
2562,Andrés Vombergar
2563,Wilmar Barrios
2564,Yaroslav Rakitskiy
2578,Graham Burke
2579,Ezri Konsa
2581,Saïd Benrahma
2585,Mo Eisa
2591,João Carvalho
2592,El Arbi Hillel Soudani
2605,Lovre Kalinic
2608,Mateusz Bogusz
2613,Fred
2614,Diogo Dalot
2615,Kepa
2617,Sokratis
2618,Mattéo Guendouzi
2620,Ricardo Pereira
2621,Filip Benkovic
2626,Felipe Anderson
2628,Lukasz Fabianski
2629,Fabián Balbuena
2630,Xande Silva
2634,Marc Navarro
2638,Percy Tau
2639,Anders Dreyer
2640,Peter Gwargis
2641,Billy Arce
2642,Leo Östigard
2644,Mohamed Elyounoussi
2647,Rui Patrício
2648,João Moutinho
2649,Rúben Vinagre
2652,Bobby Reid
2654,André Zambo Anguissa
2656,Fabri
2658,Ko Itakura
2660,Miguel Almirón
2663,Filip Stuparevic
2666,Tudor Baluta
2667,Karlan Grant
2668,Jonny Otto
2669,Ryan Babel
2670,Ander Capa
2671,Cristian Ganea
2672,Rodri
2673,Gelson Martins
2674,Santiago Arias
2675,Nehuén Pérez
2676,Antonio Adán
2678,José Manuel Arnáiz
2679,Recio
2680,Diego Rolán
2681,Kenneth Omeruo
2682,Óscar Rodríguez
2683,Josua Mejías
2687,Tomás Pina
2688,Ximo Navarro
2689,Eraldo Cinari
2690,Arthur
2691,Nemanja Maksimovic
2692,David Soria
2693,Leandro Cabrera
2694,Marc Muniesa
2695,Johan Mojica
2696,Jairo Izquierdo
2697,Nikola Vukcevic
2699,Moses Simon
2700,Aitor Fernández
2701,Fran Beltrán
2702,Néstor Araújo
2703,Okay Yokuslu
2705,Borja Iglesias
2706,William Carvalho
2707,Vinícius Júnior
2709,Álvaro Odriozola
2711,Sergio Álvarez
2712,Pablo de Blasis
2713,Quincy Promes
2715,Tomas Vaclík
2716,Sergi Gómez
2718,Uros Racic
2721,Aleksandar Jovanovic
